Bericht,Berichtklasse,Berichtelement\Datatype,CDT-element\Datatype,CDT-element\Datatype,Sleutelelement,Codelijst,Regel,Regelcode,Retourcode
JW301,,,,,,,OP260: Een ondersteuningsproduct wordt omschreven als een Productcategorie en kan nader gespecificeerd worden met een Productcode.,OP260,
JW301,,,,,,,"OP261: Per ondersteuningsproduct wordt vastgelegd of de uitvoering inspanningsgericht, outputgericht of taakgericht is.",OP261,
JW301,,,,,,,OP274: Na ontvangst van een verzoek om toewijzing stuurt de gemeente per aangevraagd product binnen 5 werkdagen ofwel een toewijzingbericht ofwel een antwoordbericht aan de aanbieder.,OP274,
JW301,,,,,,,OP275: Iedere toewijzing binnen één gemeente heeft een uniek nummer per wettelijk domein.,OP275,
JW301,,,,,,,"OP286: Als de ontvanger een technische fout constateert, keurt deze het bericht in zijn geheel af en laat hij dit weten aan de verzender. Het bericht moet daarmee functioneel als niet-verzonden worden beschouwd",OP286,
JW301,,,,,,,OP298: Het verlagen van het Volume bij de frequentie totaal binnen geldigheid toewijzing is alleen toegestaan na overleg met en instemming van de betreffende aanbieder.,OP298,
JW301,,,,,,,OP299: Het verlagen van het Budget is alleen toegestaan na overleg met en instemming van de betreffende aanbieder.,OP299,
JW301,,,,,,,"OP305: Indien een product op inspanningsbasis in stuks is gecontracteerd, moet toegewezen worden met eenheid 84: Stuks (inspanning)",OP305,
JW301,,,,,,,OP344: Een verzoek wordt door de gemeente uiteindelijk beantwoord met een toewijzing of een afwijzing.,OP344,
JW301,,,,,,,OP346: Na ontvangst van een verzoek om wijziging bericht stuurt de gemeente binnen 5 werkdagen ofwel een toewijzingbericht ofwel een antwoordbericht aan de aanbieder. (Requirement).,OP346,
JW301,,,,,,,OP348: Bij honoreren van een Verzoek om Wijziging (VOW) dient het aangevraagde overgenomen te worden in het toewijzingsbericht.,OP348,
JW301,,,,,,,OP362: Het verwijderen van een toewijzing mag alleen indien dit niet leidt tot verlies van rechtmatigheid van geleverde en/of gedeclareerde zorg,OP362,
JW301,,,,,,,OP380: Het oprekken van de einddatum van de bestaande toewijzing voor een verlenging van de zorg of ondersteuning is verplicht.,OP380,
JW301,,,,,,,IV074: Wat is het verschil tussen de verschillende uitvoeringsvarianten?,IV074,
JW301,,,,,,,IV093: Hoe wordt een Toewijzingbericht gevuld naar aanleiding van een verzoek om wijziging (VOW) bericht?,IV093,
JW301,,,,,,,IV094: Hoe wordt een toewijzingbericht gevuld naar aanleiding van een verzoek om toewijzing (VOT) bericht?,IV094,
JW301,Client,,,,,,"TR061: Bij een Client moet minimaal één Adres voorkomen waarvan Soort de waarde '01' (BRP-adres), '02' (Correspondentie-adres) of '03' (Verblijfadres) heeft.",TR061,0001
JW301,Client,Bsn\LDT_BurgerServicenummer,,,ja,,CS002: De waarde moet voldoen aan de 11-proef.,CS002,0001
JW301,Client,Bsn\LDT_BurgerServicenummer,,,ja,,RS015: Maximale lengte 9 posities,RS015,
JW301,Client,Bsn\LDT_BurgerServicenummer,,,ja,,RS037: Vullen met 9 cijfers.,RS037,
JW301,Client,Geboortedatum\CDT_Geboortedatum,Datum,,,,"TR002: Geboortedatum mag niet meer dan 120 jaar voor de Dagtekening liggen, tenzij Geboortedatum onbekend is.",TR002,0001
JW301,Client,Geboortedatum\CDT_Geboortedatum,Datum,,,,TR134: Vullen met een bestaande datum die niet groter is dan de Dagtekening van het bericht.,TR134,0001
JW301,Client,Geboortedatum\CDT_Geboortedatum,Datum,,,,IV009: Hoe moet worden omgegaan met een geboortedatum?,IV009,
JW301,Client,Geboortedatum\CDT_Geboortedatum,Datum\LDT_Datum,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW301,Client,Geboortedatum\CDT_Geboortedatum,DatumGebruik,,,,CS139: Voor Geboortedatum geldt dat DatumGebruik en Datum met elkaar in overeenstemming moeten zijn.,CS139,0001
JW301,Client,Geboortedatum\CDT_Geboortedatum,DatumGebruik\LDT_DatumGebruik,,,COD170,RS008: Maximale lengte 1 positie,RS008,
JW301,Client,Geslacht\LDT_Geslacht,,,,COD046,RS008: Maximale lengte 1 positie,RS008,
JW301,Client,Naam,,,,,CS318: NaamGebruik 6 (Niet-natuurlijk persoon) niet vullen.,CS318,0001
JW301,Client,Naam,,,,,IV007: Hoe wordt de naam van een client of relatie vastgelegd?`,IV007,
JW301,Client,Naam\CDT_VolledigeNaam,Geslachtsnaam\CDT_Achternaam,Achternaam\LDT_Naam,,,RS028: Maximale lengte 200 posities,RS028,
JW301,Client,Naam\CDT_VolledigeNaam,Geslachtsnaam\CDT_Achternaam,Achternaam\LDT_Naam,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Client,Naam\CDT_VolledigeNaam,Geslachtsnaam\CDT_Achternaam,Voorvoegsel\LDT_Voorvoegsel,,,RS016: Maximale lengte 10 posities,RS016,
JW301,Client,Naam\CDT_VolledigeNaam,Geslachtsnaam\CDT_Achternaam,Voorvoegsel\LDT_Voorvoegsel,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Client,Naam\CDT_VolledigeNaam,Partnernaam\CDT_Achternaam,Achternaam\LDT_Naam,,,RS028: Maximale lengte 200 posities,RS028,
JW301,Client,Naam\CDT_VolledigeNaam,Partnernaam\CDT_Achternaam,Achternaam\LDT_Naam,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Client,Naam\CDT_VolledigeNaam,Partnernaam\CDT_Achternaam,Voorvoegsel\LDT_Voorvoegsel,,,RS016: Maximale lengte 10 posities,RS016,
JW301,Client,Naam\CDT_VolledigeNaam,Partnernaam\CDT_Achternaam,Voorvoegsel\LDT_Voorvoegsel,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Client,Naam\CDT_VolledigeNaam,Voornamen\LDT_Naam,,,,RS028: Maximale lengte 200 posities,RS028,
JW301,Client,Naam\CDT_VolledigeNaam,Voornamen\LDT_Naam,,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Client,Naam\CDT_VolledigeNaam,Voorletters\LDT_Voorletters,,,,RS013: Maximale lengte 6 posities,RS013,
JW301,Client,Naam\CDT_VolledigeNaam,Voorletters\LDT_Voorletters,,,,RS045: Aaneengesloten vullen (zonder punten of spaties).,RS045,
JW301,Client,Naam\CDT_VolledigeNaam,NaamGebruik,,,,"CS050: Als Partnernaam gevuld is, dan NaamGebruik vullen met waarde 1, 2, 3 of 4. Anders waarde 1 of 6 vullen.",CS050,0001
JW301,Client,Naam\CDT_VolledigeNaam,NaamGebruik\LDT_NaamGebruik,,,COD700,RS008: Maximale lengte 1 positie,RS008,
JW301,Client,Communicatie\CDT_Communicatie,Vorm\LDT_Communicatievorm,,,COD747,RS008: Maximale lengte 1 positie,RS008,
JW301,Client,Communicatie\CDT_Communicatie,Taal,,,,"CD007: Als Communicatie / Vorm de waarde 1 (tolk taal) heeft, dan verplicht vullen, anders leeglaten.",CD007,0001
JW301,Client,Communicatie\CDT_Communicatie,Taal\LDT_Taal,,,,RS021: Maximale lengte 25 posities,RS021,
JW301,Client,Communicatie\CDT_Communicatie,Taal\LDT_Taal,,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Client,JuridischeStatus\LDT_JuridischeStatus,,,,WJ232,RS009: Maximale lengte 2 posities,RS009,
JW301,Client,WettelijkeVertegenwoordiging\LDT_WettelijkeVertegenwoordiging,,,,WJ003,RS009: Maximale lengte 2 posities,RS009,
JW301,Client,Commentaar\LDT_Commentaar,,,,,RS031: Commentaarvelden niet leeg.,RS031,
JW301,Contact,,,,,,"TR006: De berichtklasse Contact moet een berichtelement Telefoon, en/of de combinatie Huis en Postcode bevatten.",TR006,0001
JW301,Contact,,,,,,TR101: Binnen een bericht zijn dubbele regels niet toegestaan.,TR101,0001
JW301,Contact,Soort,,,ja,,IV047: Hoe om te gaan met de adressering van een client indien alleen een briefadres bekend is?,IV047,
JW301,Contact,Soort\LDT_AdresSoort,,,ja,COD757,RS009: Maximale lengte 2 posities,RS009,
JW301,Contact,Adres\CDT_Adres,Huis,,,,"CD025: Als Adres / LandCode de waarde NL (Nederland) heeft, dan verplicht vullen.",CD025,0001
JW301,Contact,Adres\CDT_Adres,Huis\CDT_Huis,Huisnummer\LDT_Huisnummer,,,RS001: Minimale waarde 0,RS001,
JW301,Contact,Adres\CDT_Adres,Huis\CDT_Huis,Huisnummer\LDT_Huisnummer,,,RS004: Maximale waarde 99999 (5*9),RS004,
JW301,Contact,Adres\CDT_Adres,Huis\CDT_Huis,Huisletter\LDT_Huisletter,,,RS008: Maximale lengte 1 positie,RS008,
JW301,Contact,Adres\CDT_Adres,Huis\CDT_Huis,Huisletter\LDT_Huisletter,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Contact,Adres\CDT_Adres,Huis\CDT_Huis,HuisnummerToevoeging\LDT_HuisnummerToevoeging,,,RS011: Maximale lengte 4 posities,RS011,
JW301,Contact,Adres\CDT_Adres,Huis\CDT_Huis,HuisnummerToevoeging\LDT_HuisnummerToevoeging,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Contact,Adres\CDT_Adres,Huis\CDT_Huis,AanduidingWoonadres\LDT_AanduidingWoonadres,,NUM061,RS009: Maximale lengte 2 posities,RS009,
JW301,Contact,Adres\CDT_Adres,Postcode,,,,"CD034: Als Soort adres de waarde 1 (BRP-adres) of 3 (verblijfadres) heeft, dan verplicht vullen.",CD034,0001
JW301,Contact,Adres\CDT_Adres,Postcode,,,,"CS089: Als LandCode de waarde NL (Nederland) heeft, dan moet het formaat overeenkomen met dat van een Nederlandse postcode.",CS089,0001
JW301,Contact,Adres\CDT_Adres,Postcode\LDT_Postcode,,,,RS014: Maximale lengte 8 posities,RS014,
JW301,Contact,Adres\CDT_Adres,Postcode\LDT_Postcode,,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Contact,Adres\CDT_Adres,Straatnaam\LDT_Straatnaam,,,,RS020: Maximale lengte 24 posities,RS020,
JW301,Contact,Adres\CDT_Adres,Straatnaam\LDT_Straatnaam,,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Contact,Adres\CDT_Adres,Plaatsnaam\LDT_Plaatsnaam,,,,RS026: Maximale lengte 80 posities,RS026,
JW301,Contact,Adres\CDT_Adres,Plaatsnaam\LDT_Plaatsnaam,,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Contact,Adres\CDT_Adres,LandCode,,,,"CD005: Als Postcode gevuld is, dan verplicht vullen, anders leeg laten.",CD005,0001
JW301,Contact,Adres\CDT_Adres,LandCode\LDT_LandCode,,,COD032,RS009: Maximale lengte 2 posities,RS009,
JW301,Contact,Organisatie,,,,,IV002: Hoe om te gaan met de adressering indien er sprake is van een organisatie?,IV002,
JW301,Contact,Organisatie\LDT_Organisatienaam,,,,,RS023: Maximale lengte 35 posities,RS023,
JW301,Contact,Organisatie\LDT_Organisatienaam,,,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Contact,Telefoon\CDT_Telefoonnummers,Telefoon01\CDT_Telefoon,Telefoonnummer\LDT_Telefoonnummer,,,RS018: Maximale lengte 15 posities,RS018,
JW301,Contact,Telefoon\CDT_Telefoonnummers,Telefoon01\CDT_Telefoon,Telefoonnummer\LDT_Telefoonnummer,,,RS046: Aaneengesloten vullen met cijfers.,RS046,
JW301,Contact,Telefoon\CDT_Telefoonnummers,Telefoon01\CDT_Telefoon,Landnummer\LDT_Landnummer,,,RS011: Maximale lengte 4 posities,RS011,
JW301,Contact,Telefoon\CDT_Telefoonnummers,Telefoon01\CDT_Telefoon,Landnummer\LDT_Landnummer,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Contact,Telefoon\CDT_Telefoonnummers,Telefoon02\CDT_Telefoon,Telefoonnummer\LDT_Telefoonnummer,,,RS018: Maximale lengte 15 posities,RS018,
JW301,Contact,Telefoon\CDT_Telefoonnummers,Telefoon02\CDT_Telefoon,Telefoonnummer\LDT_Telefoonnummer,,,RS046: Aaneengesloten vullen met cijfers.,RS046,
JW301,Contact,Telefoon\CDT_Telefoonnummers,Telefoon02\CDT_Telefoon,Landnummer\LDT_Landnummer,,,RS011: Maximale lengte 4 posities,RS011,
JW301,Contact,Telefoon\CDT_Telefoonnummers,Telefoon02\CDT_Telefoon,Landnummer\LDT_Landnummer,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Contact,Emailadres\LDT_Emailadres,,,,,RS026: Maximale lengte 80 posities,RS026,
JW301,Contact,Emailadres\LDT_Emailadres,,,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Contact,Periode,,,,,"CD009: Alleen als Soort adres de waarde 04 (tijdelijk adres) heeft, is vullen toegestaan.",CD009,0001
JW301,Contact,Periode\CDT_OpenPeriode,Begindatum\LDT_Datum,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW301,Contact,Periode\CDT_OpenPeriode,Einddatum,,,,"CS003: Indien van toepassing vullen met een waarde die groter is dan, of gelijk is aan de Begindatum (of Ingangsdatum) van de aangeduide periode.",CS003,0001
JW301,Contact,Periode\CDT_OpenPeriode,Einddatum\LDT_Datum,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW301,Header,Afzender,,,,,IV046: Welke gemeentecode moet gevuld worden?,IV046,
JW301,Header,Afzender\LDT_Gemeente,,,,,RS035: Vullen met 4 cijfers.,RS035,
JW301,Header,Afzender\LDT_Gemeente,,,,,TR378: Vullen met een bestaande gemeentecode uit het overzicht van CBS dat actueel is op Ingangsdatum of ToewijzingIngangsdatum.,TR378,S300
JW301,Header,Ontvanger\LDT_AgbCode,,,,,RS014: Maximale lengte 8 posities,RS014,
JW301,Header,Ontvanger\LDT_AgbCode,,,,,RS036: Vullen met 8 cijfers.,RS036,
JW301,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Identificatie,,,,TR056: Identificatie moet per berichtsoort uniek zijn voor de verzendende partij.,TR056,9056
JW301,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Identificatie\LDT_IdentificatieBericht,,,,RS017: Maximale lengte 12 posities,RS017,
JW301,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Identificatie\LDT_IdentificatieBericht,,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Dagtekening,,,,TR135: Vullen met een bestaande datum die niet in de toekomst ligt.,TR135,8848
JW301,Header,BerichtIdentificatie\CDT_BerichtIdentificatie,Dagtekening\LDT_Datum,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW301,Header,BerichtCode\LDT_BerichtCode,,,,,RS010: Maximale lengte 3 posities,RS010,
JW301,Header,BerichtCode\LDT_BerichtCode,,,,,RS047: Vullen met BerichtCode volgens de specificatie,RS047,
JW301,Header,BerichtVersie,,,,,CS025: BerichtVersie vullen met 3.,CS025,
JW301,Header,BerichtVersie\LDT_BerichtVersie,,,,,RS001: Minimale waarde 0,RS001,
JW301,Header,BerichtVersie\LDT_BerichtVersie,,,,,RS002: Maximale waarde 99,RS002,
JW301,Header,BerichtSubversie,,,,,CS015: BerichtSubversie vullen met 2.,CS015,
JW301,Header,BerichtSubversie\LDT_BerichtSubversie,,,,,RS001: Minimale waarde 0,RS001,
JW301,Header,BerichtSubversie\LDT_BerichtSubversie,,,,,RS002: Maximale waarde 99,RS002,
JW301,Header,XsdVersie\CDT_XsdVersie,BerichtXsdVersie,,,,IV034: Hoe moet XsdVersie gevuld worden?,IV034,
JW301,Header,XsdVersie\CDT_XsdVersie,BerichtXsdVersie\LDT_Versie,,,,"RS048: Vullen met een versienummer bestaande uit drie gehele getallen, gescheiden met punten.",RS048,
JW301,Header,XsdVersie\CDT_XsdVersie,BasisschemaXsdVersie,,,,IV034: Hoe moet XsdVersie gevuld worden?,IV034,
JW301,Header,XsdVersie\CDT_XsdVersie,BasisschemaXsdVersie\LDT_Versie,,,,"RS048: Vullen met een versienummer bestaande uit drie gehele getallen, gescheiden met punten.",RS048,
JW301,Relatie,,,,,,TR101: Binnen een bericht zijn dubbele regels niet toegestaan.,TR101,0001
JW301,Relatie,Nummer\LDT_Persoonsid,,,ja,,RS019: Maximale lengte 20 posities,RS019,
JW301,Relatie,Nummer\LDT_Persoonsid,,,ja,,RS033: Geen lege elementen in XML.,RS033,
JW301,Relatie,Volgorde\LDT_RelatieVolgorde,,,,,RS001: Minimale waarde 0,RS001,
JW301,Relatie,Volgorde\LDT_RelatieVolgorde,,,,,RS002: Maximale waarde 99,RS002,
JW301,Relatie,Soort\LDT_SoortRelatie,,,,COD472,RS009: Maximale lengte 2 posities,RS009,
JW301,Relatie,Geboortedatum\CDT_Geboortedatum,Datum,,,,"TR002: Geboortedatum mag niet meer dan 120 jaar voor de Dagtekening liggen, tenzij Geboortedatum onbekend is.",TR002,0001
JW301,Relatie,Geboortedatum\CDT_Geboortedatum,Datum,,,,TR134: Vullen met een bestaande datum die niet groter is dan de Dagtekening van het bericht.,TR134,0001
JW301,Relatie,Geboortedatum\CDT_Geboortedatum,Datum,,,,IV009: Hoe moet worden omgegaan met een geboortedatum?,IV009,
JW301,Relatie,Geboortedatum\CDT_Geboortedatum,Datum\LDT_Datum,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW301,Relatie,Geboortedatum\CDT_Geboortedatum,DatumGebruik,,,,CS139: Voor Geboortedatum geldt dat DatumGebruik en Datum met elkaar in overeenstemming moeten zijn.,CS139,0001
JW301,Relatie,Geboortedatum\CDT_Geboortedatum,DatumGebruik\LDT_DatumGebruik,,,COD170,RS008: Maximale lengte 1 positie,RS008,
JW301,Relatie,Geslacht\LDT_Geslacht,,,,COD046,RS008: Maximale lengte 1 positie,RS008,
JW301,Relatie,Naam,,,,,IV007: Hoe wordt de naam van een client of relatie vastgelegd?`,IV007,
JW301,Relatie,Naam,,,,,IV045: Hoe wordt de voogd vastgelegd indien dit een organisatie betreft?,IV045,
JW301,Relatie,Naam\CDT_VolledigeNaam,Geslachtsnaam\CDT_Achternaam,Achternaam\LDT_Naam,,,RS028: Maximale lengte 200 posities,RS028,
JW301,Relatie,Naam\CDT_VolledigeNaam,Geslachtsnaam\CDT_Achternaam,Achternaam\LDT_Naam,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Relatie,Naam\CDT_VolledigeNaam,Geslachtsnaam\CDT_Achternaam,Voorvoegsel\LDT_Voorvoegsel,,,RS016: Maximale lengte 10 posities,RS016,
JW301,Relatie,Naam\CDT_VolledigeNaam,Geslachtsnaam\CDT_Achternaam,Voorvoegsel\LDT_Voorvoegsel,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Relatie,Naam\CDT_VolledigeNaam,Partnernaam\CDT_Achternaam,Achternaam\LDT_Naam,,,RS028: Maximale lengte 200 posities,RS028,
JW301,Relatie,Naam\CDT_VolledigeNaam,Partnernaam\CDT_Achternaam,Achternaam\LDT_Naam,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Relatie,Naam\CDT_VolledigeNaam,Partnernaam\CDT_Achternaam,Voorvoegsel\LDT_Voorvoegsel,,,RS016: Maximale lengte 10 posities,RS016,
JW301,Relatie,Naam\CDT_VolledigeNaam,Partnernaam\CDT_Achternaam,Voorvoegsel\LDT_Voorvoegsel,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Relatie,Naam\CDT_VolledigeNaam,Voornamen\LDT_Naam,,,,RS028: Maximale lengte 200 posities,RS028,
JW301,Relatie,Naam\CDT_VolledigeNaam,Voornamen\LDT_Naam,,,,RS033: Geen lege elementen in XML.,RS033,
JW301,Relatie,Naam\CDT_VolledigeNaam,Voorletters\LDT_Voorletters,,,,RS013: Maximale lengte 6 posities,RS013,
JW301,Relatie,Naam\CDT_VolledigeNaam,Voorletters\LDT_Voorletters,,,,RS045: Aaneengesloten vullen (zonder punten of spaties).,RS045,
JW301,Relatie,Naam\CDT_VolledigeNaam,NaamGebruik,,,,"CS050: Als Partnernaam gevuld is, dan NaamGebruik vullen met waarde 1, 2, 3 of 4. Anders waarde 1 of 6 vullen.",CS050,0001
JW301,Relatie,Naam\CDT_VolledigeNaam,NaamGebruik\LDT_NaamGebruik,,,COD700,RS008: Maximale lengte 1 positie,RS008,
JW301,ToegewezenProduct,,,,,,TR101: Binnen een bericht zijn dubbele regels niet toegestaan.,TR101,0001
JW301,ToegewezenProduct,,,,,,TR302: Een Product mag alleen vaker in een toewijzingsbericht voorkomen indien de zorgperiodes elkaar niet overlappen,TR302,0001
JW301,ToegewezenProduct,,,,,,"TR385: Indien de toewijzing goedgekeurde (niet gecrediteerde) prestatiesregels met gelijk ToewijzingNummer heeft, is het niet toegestaan deze toewijzing te verwijderen met RedenWijziging waarde 13 (verwijderd)",TR385,9385
JW301,ToegewezenProduct,,,,,,IV097: Hoe wordt ReferentieAanbieder gevuld in een ToegewezenProduct?,IV097,
JW301,ToegewezenProduct,ToewijzingNummer,,,ja,,TR332: Ieder ToegewezenProduct binnen één gemeente heeft een uniek nummer per wettelijk domein.,TR332,9332
JW301,ToegewezenProduct,ToewijzingNummer,,,ja,,IV066: Wanneer krijgt een toewijzing een nieuw ToewijzingNummer?,IV066,
JW301,ToegewezenProduct,ToewijzingNummer\LDT_Nummer,,,ja,,RS001: Minimale waarde 0,RS001,
JW301,ToegewezenProduct,ToewijzingNummer\LDT_Nummer,,,ja,,RS006: Maximale waarde 999999999 (9*9),RS006,
JW301,ToegewezenProduct,ReferentieAanbieder,,,,,"TR379: Indien ToegewezenProduct wordt verstuurd ter honorering van een VOT of VOW, dient ReferentieAanbieder te worden gevuld met ReferentieAanbieder uit die VOT of VOW, anders leeglaten",TR379,9379
JW301,ToegewezenProduct,ReferentieAanbieder\LDT_Referentie,,,,,RS024: Maximale lengte 36 posities,RS024,
JW301,ToegewezenProduct,ReferentieAanbieder\LDT_Referentie,,,,,RS033: Geen lege elementen in XML.,RS033,
JW301,ToegewezenProduct,Product,,,,,"CD079: Indien Budget leeg is, dan verplicht vullen",CD079,0001
